2026-06-02 13:25:00 | INFO | root | 日志系统初始化完成 | log_dir=/Users/zijund/Code/ReclaimEdge/logs log_file=app.log console=False file=True level=INFO retention_days=7 backup_count=7
2026-06-02 13:25:00 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | LOWER_ARMED | reason=down_shock price=99.9000 lower=100.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:00 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | LOWER_ARMED | reason=down_shock price=99.9500 lower=100.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:00 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | UPPER_ARMED | reason=up_shock price=110.0500 upper=110.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:00 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | UPPER_ARMED | reason=up_shock price=110.1100 upper=110.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:01 | WARNING | scripts.run_boll_cvd_live | LIVE entry success | intent_type=OPEN_LONG side=LONG layer=1 price=100.0000 contracts=1 tp_price=101 tp_mode=MIDDLE avg_entry=100.0000 breakeven=100.1000 order_id=ord-1000 tp_order_id=tp
2026-06-02 13:25:01 | WARNING | scripts.run_boll_cvd_live | LIVE entry success | intent_type=OPEN_LONG side=LONG layer=1 price=100.0000 contracts=1 tp_price=101 tp_mode=MIDDLE avg_entry=100.0000 breakeven=100.1000 order_id=ord-1001 tp_order_id=tp
2026-06-02 13:25:01 | WARNING | scripts.run_boll_cvd_live | LIVE entry success | intent_type=OPEN_LONG side=LONG layer=1 price=100.0000 contracts=1 tp_price=101 tp_mode=MIDDLE avg_entry=100.0000 breakeven=100.1000 order_id=ord-1002 tp_order_id=tp
2026-06-02 13:25:40 | INFO | root | 日志系统初始化完成 | log_dir=/Users/zijund/Code/ReclaimEdge/logs log_file=app.log console=False file=True level=INFO retention_days=7 backup_count=7
2026-06-02 13:25:40 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | LOWER_ARMED | reason=down_shock price=99.9000 lower=100.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:40 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | LOWER_ARMED | reason=down_shock price=99.9500 lower=100.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:40 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | UPPER_ARMED | reason=up_shock price=110.0500 upper=110.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:40 | INFO | src.strategies.boll_cvd_shock_reclaim_strategy | UPPER_ARMED | reason=up_shock price=110.1100 upper=110.0000 middle=105.0000 switch_current=True switch_latched=False move_ratio=10.00 volume_ratio=10.00 burst_range=0.01000 baseline_range=0.00100 max_entry_distance=0.2000% max_armed=900s
2026-06-02 13:25:40 | WARNING | scripts.run_boll_cvd_live | LIVE entry success | intent_type=OPEN_LONG side=LONG layer=1 price=100.0000 contracts=1 tp_price=101 tp_mode=MIDDLE avg_entry=100.0000 breakeven=100.1000 order_id=ord-1000 tp_order_id=tp
2026-06-02 13:25:40 | WARNING | scripts.run_boll_cvd_live | LIVE entry success | intent_type=OPEN_LONG side=LONG layer=1 price=100.0000 contracts=1 tp_price=101 tp_mode=MIDDLE avg_entry=100.0000 breakeven=100.1000 order_id=ord-1001 tp_order_id=tp
2026-06-02 13:25:40 | WARNING | scripts.run_boll_cvd_live | LIVE entry success | intent_type=OPEN_LONG side=LONG layer=1 price=100.0000 contracts=1 tp_price=101 tp_mode=MIDDLE avg_entry=100.0000 breakeven=100.1000 order_id=ord-1002 tp_order_id=tp
